カテゴリ,機能名,説明,実装状況,使用テーブル,APIエンドポイント,備考
ユーザー行動フロー,ユーザージャーニーマップ,セッション内の全アクションを時系列で表示,✅ トラッキング実装済,events,既存データで集計可能,session_idで絞り込み timestamp順
コホート分析,リテンション分析,初回訪問日ベースの再訪問率をコホート表示,✅ トラッキング実装済,events,既存データで集計可能,user_id × 初回timestamp × 再訪日で集計
コホート分析,ユーザーセグメント比較,流入元・デバイス・行動パターンでセグメント比較,✅ トラッキング実装済,events,既存データで集計可能,WHERE条件を動的に組み合わせ
コホート分析,新規vs再訪問者比較,初回セッションとリピートセッションの行動差異,✅ トラッキング実装済,events,既存データで集計可能,user_id単位で初回session_idを特定
エンゲージメント,エンゲージメントスコア,クリック+スクロール+熟読+滞在時間の複合スコア,✅ トラッキング実装済,events,既存データで集計可能,各指標を正規化して加重平均
エンゲージメント,アクティブ時間計測,タブがアクティブだった実時間を計測,✅ トラッキング実装済,events (event_type=active_time),/api/track,visibilitychange APIで取得・ページ離脱時に送信
エンゲージメント,インタラクション密度,単位時間あたりのインタラクション回数,✅ トラッキング実装済,events,既存データで集計可能,events_count / active_duration
テキスト分析,テキスト選択（コピー）追跡,ユーザーがコピーしたテキスト内容と位置を記録,🔲 未実装,events（拡張）,新規API必要,selectionchangeイベントで取得
テキスト分析,テキスト選択ヒートマップ,どのテキスト部分が最も選択されたかを可視化,🔲 未実装,events（拡張）,新規API必要,Y座標ベースで熟読と同様に描画
エラー分析,JavaScriptエラー追跡,ページ上のJSエラーを自動キャプチャ,🔲 未実装,events（拡張）,新規API必要,window.onerror / unhandledrejectionで取得
エラー分析,エラー×ページ×デバイスクロス集計,どのページ・デバイスでエラーが多発しているか,🔲 未実装,events（拡張）,新規API必要,既存のデバイス・ページ分析基盤を流用
エラー分析,404ページ検出,存在しないURLへのアクセスを集計,🔲 未実装,events（拡張）,新規API必要,ステータスコードまたはDOM内容で判定
予測分析,離脱予測,行動パターンから離脱リスクをリアルタイム予測,🔲 未実装,events,新規API必要,MLモデルで過去データから学習
予測分析,コンバージョン予測,セッション中の行動からCV確率を予測,🔲 未実装,events + sessions,新規API必要,ロジスティック回帰やXGBoost
予測分析,収益予測,トラフィック・行動パターンから将来収益を予測,🔲 未実装,events + sessions,新規API必要,時系列予測モデル
異常検出,トラフィック異常アラート,急激なPV増減・エラー率上昇を自動検出,🔲 未実装,events,新規API必要,ClickHouseの時系列関数で移動平均との乖離を検出
異常検出,ボット検出,異常な行動パターン（超高速クリック等）を検出,🔲 未実装,events,新規API必要,セッション内のイベント間隔・パターン分析
異常検出,パフォーマンス劣化検出,Core Web Vitalsの急激な悪化を検出,🔲 未実装,events（拡張）,新規API必要,PerformanceObserver APIで収集しClickHouseに記録
SEO連携,クエリ別ヒートマップ,検索クエリごとに異なるクリックパターンを表示,✅ 実装済,events + gsc_data,/api/heatmap/query,検索意図×行動の統合分析
SEO連携,ランディングページ×クエリマトリクス,どのクエリでどのページに流入しどう行動したか,🔲 未実装,events + gsc_data,新規API必要,GSCデータとイベントをURLで結合
SEO連携,検索順位×行動相関分析,検索順位とページ内行動の相関を分析,🔲 未実装,gsc_data + events,新規API必要,position × scroll_depth等のクロス集計
広告連携,広告ID別ROI分析,gclid/fbclid別のコンバージョン・収益を集計,🔲 未実装,events,新規API必要,event_revenue × gclid/fbclidで集約
広告連携,広告別ヒートマップ,広告経由ユーザーとオーガニックの行動差異を比較,🔲 未実装,events,新規API必要,gclid IS NOT NULLでフィルタ
広告連携,キャンペーン別コンバージョンパス,UTMキャンペーンごとのCV導線を分析,🔲 未実装,events + sessions,新規API必要,utm_campaign × ページ遷移フロー
EC連携,商品クリック追跡,商品要素のクリック→購入のコンバージョン追跡,🔲 未実装,events,新規API必要,element_href + conversion_valueの紐付け
EC連携,カート放棄分析,カートページでの行動と離脱パターンを分析,🔲 未実装,events + sessions,新規API必要,特定URLのexit率 + 行動パターン
EC連携,Revenue per Click,クリック位置ごとの収益貢献度を算出,🔲 未実装,events,新規API必要,click座標 × event_revenueの集約
レポート,定期レポート自動生成,日次/週次/月次のレポートを自動生成,🔲 未実装,全テーブル,新規API必要,ClickHouseの集計 → HTML/PDFレンダリング
レポート,カスタムダッシュボード,ユーザーが自由にウィジェットを配置,🔲 未実装,全テーブル,新規API必要,クエリビルダー + グリッドレイアウト
レポート,データエクスポート,CSV/JSON/PDFでのデータエクスポート,🔲 未実装,全テーブル,新規API必要,ClickHouseのFORMAT CSV出力を利用
ClickHouse最適化,マテリアライズドビュー,リアルタイム集計の自動更新,🔲 未実装,-,-,INSERT時に自動集計しsummaryテーブルへ
ClickHouse最適化,TTL自動削除,古いデータの自動パージ,🔲 未実装,-,-,TTL timestamp + INTERVAL 1 YEAR DELETE
ClickHouse最適化,サンプリングクエリ,大量データの近似集計で高速化,🔲 未実装,-,-,SAMPLE 0.1で10%サンプリング
ClickHouse最適化,Projection,よくあるクエリパターンの事前最適化,🔲 未実装,-,-,ALTER TABLE ADD PROJECTION
